turn,color,move,player_name
1,BLACK,D3,Human
2,WHITE,C3,TaiyakiBot
3,BLACK,E6,Human
4,WHITE,D2,TaiyakiBot
5,BLACK,D1,Human
6,WHITE,E1,TaiyakiBot
7,BLACK,F1,Human
8,WHITE,D6,TaiyakiBot
9,BLACK,D7,Human
10,WHITE,E3,TaiyakiBot
11,BLACK,E2,Human
12,WHITE,D8,TaiyakiBot
13,BLACK,C4,Human
14,WHITE,C5,TaiyakiBot
15,BLACK,C6,Human
16,WHITE,B5,TaiyakiBot
17,BLACK,A5,Human
18,WHITE,A4,TaiyakiBot
19,BLACK,A3,Human
20,WHITE,F3,TaiyakiBot
21,BLACK,B4,Human
22,WHITE,B3,TaiyakiBot
23,BLACK,A6,Human
24,WHITE,B6,TaiyakiBot
25,BLACK,C8,Human
26,WHITE,B8,TaiyakiBot
27,BLACK,C7,Human
28,WHITE,A7,TaiyakiBot
29,BLACK,A8,Human
30,WHITE,B7,TaiyakiBot
31,BLACK,A2,Human
32,WHITE,B2,TaiyakiBot
33,BLACK,A1,Human
34,WHITE,B1,TaiyakiBot
35,BLACK,C1,Human
36,WHITE,C2,TaiyakiBot
37,BLACK,E8,Human
38,WHITE,E7,TaiyakiBot
39,BLACK,F2,Human
40,WHITE,G1,TaiyakiBot
41,BLACK,H1,Human
42,BLACK,G2,Human
43,WHITE,F4,TaiyakiBot
44,BLACK,G3,Human
45,WHITE,F5,TaiyakiBot
46,BLACK,G4,Human
47,WHITE,F6,TaiyakiBot
48,BLACK,G5,Human
49,WHITE,F8,TaiyakiBot
50,BLACK,F7,Human
51,WHITE,G6,TaiyakiBot
52,BLACK,H5,Human
53,WHITE,G8,TaiyakiBot
54,BLACK,G7,Human
55,WHITE,H2,TaiyakiBot
56,BLACK,H8,Human
57,WHITE,H3,TaiyakiBot
58,BLACK,H4,Human
59,WHITE,H6,TaiyakiBot
60,BLACK,H7,Human
