turn,color,move,player_name
1,BLACK,D3,Human
2,WHITE,C3,MomijiManjuBot
3,WHITE,C5,MomijiManjuBot
4,WHITE,E3,MomijiManjuBot
5,WHITE,C3,MomijiManjuBot
6,BLACK,C4,Human
7,WHITE,C5,MomijiManjuBot
8,WHITE,E3,MomijiManjuBot
9,WHITE,C5,MomijiManjuBot
10,BLACK,E6,Human
11,WHITE,D2,MomijiManjuBot
12,WHITE,E2,MomijiManjuBot
13,WHITE,E3,MomijiManjuBot
14,WHITE,F3,MomijiManjuBot
15,WHITE,F4,MomijiManjuBot
16,WHITE,F5,MomijiManjuBot
17,WHITE,F6,MomijiManjuBot
18,WHITE,F7,MomijiManjuBot
19,WHITE,F4,MomijiManjuBot
20,BLACK,D6,Human
21,WHITE,C2,MomijiManjuBot
22,WHITE,C6,MomijiManjuBot
23,WHITE,C7,MomijiManjuBot
24,WHITE,E2,MomijiManjuBot
25,WHITE,E3,MomijiManjuBot
26,WHITE,E7,MomijiManjuBot
27,WHITE,F5,MomijiManjuBot
28,WHITE,F6,MomijiManjuBot
29,WHITE,F7,MomijiManjuBot
30,WHITE,F6,MomijiManjuBot
31,BLACK,E3,Human
32,WHITE,C6,MomijiManjuBot
33,WHITE,C7,MomijiManjuBot
34,WHITE,D2,MomijiManjuBot
35,WHITE,D7,MomijiManjuBot
36,WHITE,E2,MomijiManjuBot
37,WHITE,E7,MomijiManjuBot
38,WHITE,F2,MomijiManjuBot
39,WHITE,F3,MomijiManjuBot
40,WHITE,F5,MomijiManjuBot
41,WHITE,F7,MomijiManjuBot
42,WHITE,F5,MomijiManjuBot
43,BLACK,C6,Human
44,WHITE,B6,MomijiManjuBot
45,WHITE,C2,MomijiManjuBot
46,WHITE,C7,MomijiManjuBot
47,WHITE,D2,MomijiManjuBot
48,WHITE,D7,MomijiManjuBot
49,WHITE,E2,MomijiManjuBot
50,WHITE,E7,MomijiManjuBot
51,WHITE,F2,MomijiManjuBot
52,WHITE,F3,MomijiManjuBot
53,WHITE,F7,MomijiManjuBot
54,WHITE,C2,MomijiManjuBot
55,BLACK,C1,Human
56,WHITE,B1,MomijiManjuBot
57,WHITE,B2,MomijiManjuBot
58,WHITE,B3,MomijiManjuBot
59,WHITE,B4,MomijiManjuBot
60,WHITE,B5,MomijiManjuBot
61,WHITE,B6,MomijiManjuBot
62,WHITE,B7,MomijiManjuBot
63,WHITE,C7,MomijiManjuBot
64,WHITE,D2,MomijiManjuBot
65,WHITE,D7,MomijiManjuBot
66,WHITE,E2,MomijiManjuBot
67,WHITE,E7,MomijiManjuBot
68,WHITE,F2,MomijiManjuBot
69,WHITE,F3,MomijiManjuBot
70,WHITE,B3,MomijiManjuBot
71,BLACK,A3,Human
72,WHITE,B1,MomijiManjuBot
73,WHITE,B2,MomijiManjuBot
74,WHITE,B4,MomijiManjuBot
75,WHITE,B5,MomijiManjuBot
76,WHITE,B6,MomijiManjuBot
77,WHITE,B7,MomijiManjuBot
78,WHITE,C7,MomijiManjuBot
79,WHITE,D2,MomijiManjuBot
80,WHITE,D7,MomijiManjuBot
81,WHITE,E2,MomijiManjuBot
82,WHITE,E7,MomijiManjuBot
83,WHITE,F2,MomijiManjuBot
84,WHITE,B2,MomijiManjuBot
85,BLACK,F3,Human
86,WHITE,B1,MomijiManjuBot
87,WHITE,B4,MomijiManjuBot
88,WHITE,B5,MomijiManjuBot
89,WHITE,B6,MomijiManjuBot
90,WHITE,C7,MomijiManjuBot
91,WHITE,D2,MomijiManjuBot
92,WHITE,D7,MomijiManjuBot
93,WHITE,E2,MomijiManjuBot
94,WHITE,E7,MomijiManjuBot
95,WHITE,F2,MomijiManjuBot
96,WHITE,G3,MomijiManjuBot
97,WHITE,B4,MomijiManjuBot
98,BLACK,A4,Human
99,WHITE,A5,MomijiManjuBot
100,WHITE,B1,MomijiManjuBot
101,WHITE,B5,MomijiManjuBot
102,WHITE,B6,MomijiManjuBot
103,WHITE,C7,MomijiManjuBot
104,WHITE,D2,MomijiManjuBot
105,WHITE,D7,MomijiManjuBot
106,WHITE,E2,MomijiManjuBot
107,WHITE,E7,MomijiManjuBot
108,WHITE,F2,MomijiManjuBot
109,WHITE,G3,MomijiManjuBot
